Core-index	Vocab-KO-Index	Sent-KO-Index	New-Opt-Voc-Index	Opt-Voc-Index	Opt-Sen-Index	"jlpt "	Vocab-expression	Vocab-kana	Vocab-meaning	Vocab-pos	Sentence-expression	Sentence-kana	Sentence-meaning	Vocab-furigana	Sentence-furigana	Sentence-Cloze
3318	0	1102	2776	2879	4973	JLPT0	グリーン	グリーン	green	Noun	その<b>グリーン</b>のスカーフ、素敵ですね。	その <b>ぐりーん</b> の すかーふ すてき です ね	That green scarf is lovely, isn't it?	グリーン	その<b>グリーン</b>のスカーフ、 素敵[すてき]ですね。	その<b>（　）</b>のスカーフ、 素敵[すてき]ですね。
3319	686	1398	3126	3126	5363	JLPT1	快い	こころよい	pleasant, agreeable	Adjective	彼女は<b>快い</b>眠りについています。	かのじょ は <b>こころよい</b> ねむり に ついて います	She is sleeping soundly.	快[こころよ]い	彼女[かのじょ]は<b> 快[こころよ]い</b> 眠[ねむ]りについています。	彼女[かのじょ]は<b>（　）</b> 眠[ねむ]りについています。
3320	104	259	1911	2110	2278	JLPT0	最上	さいじょう	best, highest	Noun	このホテルでは<b>最上</b>のサービスが受けられます。	この ほてる で は <b>さいじょう</b> の さーびす が うけられます	You can get the best service at this hotel.	最上[さいじょう]	このホテルでは<b> 最上[さいじょう]</b>のサービスが 受[う]けられます。	このホテルでは<b>（　）</b>のサービスが 受[う]けられます。
3321	0	441	2785	2888	2794	JLPT1	ジーパン	ジーパン	jeans	Noun	彼はいつも<b>ジーパン</b>をはいているね。	かれ は いつも <b>じーぱん</b> を はいて いる ね	He always wears jeans.	ジーパン	彼[かれ]はいつも<b>ジーパン</b>をはいているね。	彼[かれ]はいつも<b>（　）</b>をはいているね。
3322	336	337	2374	2476	2410	JLPT3	支度	したく	arrangement, preparation	Verbal Noun	<b>支度</b>ができたら出かけましょう。	<b>したく</b> が できたら でかけましょう	Let's go out when we are ready.	支度[したく]	<b> 支度[したく]</b>ができたら 出[で]かけましょう。	<b>（　）</b>ができたら 出[で]かけましょう。
3323	0	1087	2793	2896	4932	JLPT0	ジャーナリズム	ジャーナリズム	journalism	Noun	彼は<b>ジャーナリズム</b>を専攻している。	かれ は <b>じゃーなりずむ</b> を せんこう して いる	He majors in journalism.	ジャーナリズム	彼[かれ]は<b>ジャーナリズム</b>を 専攻[せんこう]している。	彼[かれ]は<b>（　）</b>を 専攻[せんこう]している。
3324	189	190	2118	2219	2178	JLPT0	食費	しょくひ	food expenses, board	Noun	男の子が3人もいるので<b>食費</b>がかさみます。	おとこ の こ が さんにん も いる の で <b>しょくひ</b> が かさみます	I have three boys so the food costs mount up.	食費[しょくひ]	男[おとこ]の 子[こ]が 3人[さんにん]もいるので<b> 食費[しょくひ]</b>がかさみます。	男[おとこ]の 子[こ]が 3人[さんにん]もいるので<b>（　）</b>がかさみます。
3325	442	893	2598	2700	4320	JLPT1	新婚	しんこん	newlywed	Noun	妹夫婦は<b>新婚</b>です。	いもうとふうふ は <b>しんこん</b> です	My younger sister and her husband are the newlyweds.	新婚[しんこん]	妹夫婦[いもうとふうふ]は<b> 新婚[しんこん]</b>です。	妹夫婦[いもうとふうふ]は<b>（　）</b>です。
3326	0	958	2801	2904	4497	JLPT2	スピーチ	スピーチ	speech	Noun	彼の<b>スピーチ</b>は素晴らしかった。	かれ の <b>すぴーち</b> は すばらしかった 。	His speech was excellent.	スピーチ	彼[かれ]の<b>スピーチ</b>は 素晴[すば]らしかった。	彼[かれ]の<b>（　）</b>は 素晴[すば]らしかった。
3327	462	463	2648	2750	3053	JLPT2	性別	せいべつ	sex, gender	Noun	出席者を<b>性別</b>で分けてください。	しゅっせきしゃ を <b>せいべつ</b> で わけて ください	Please divide attendees by gender.	性別[せいべつ]	出席者[しゅっせきしゃ]を<b> 性別[せいべつ]</b>で 分[わ]けてください。	出席者[しゅっせきしゃ]を<b>（　）</b>で 分[わ]けてください。
3328	0	837	2810	2912	4160	JLPT4	ああ	ああ	that kind of	Adverb	<b>ああ</b>うるさい人は苦手です。	<b>ああ</b> うるさい ひと は にがて です	I don't like loud people like that.	ああ	<b>ああ</b>うるさい 人[ひと]は 苦手[にがて]です。	<b>（　）</b>うるさい 人[ひと]は 苦手[にがて]です。
3329	0	414	2818	2921	2645	JLPT2	アクセント	アクセント	accent, stress	Noun	アメリカ英語とイギリス英語では<b>アクセント</b>が違うことがあるね。	あめりか えいご と いぎりす えいご で は <b>あくせんと</b> が ちがう こと が ある ね	There can be a difference in stress between American and British English.	アクセント	アメリカ 英語[えいご]とイギリス 英語[えいご]では<b>アクセント</b>が 違[ちが]うことがあるね。	アメリカ 英語[えいご]とイギリス 英語[えいご]では<b>（　）</b>が 違[ちが]うことがあるね。
3330	384	769	2505	2607	3927	JLPT1	過ち	あやまち	fault, mistake	Noun	同じ<b>過ち</b>を繰り返さないことだ。	おなじ <b>あやまち</b> を くりかえさない こと だ	Do not repeat the same mistake.	過[あやま]ち	同[おな]じ<b> 過[あやま]ち</b>を 繰[く]り 返[かえ]さないことだ。	同[おな]じ<b>（　）</b>を 繰[く]り 返[かえ]さないことだ。
3331	1183	1184	3671	3672	5075	JLPT1	印鑑	いんかん	personal seal	Noun	ここに受け取りの<b>印鑑</b>をお願いします。	ここ に うけとり の <b>いんかん</b> を おねがい します	Please put your personal seal here for the receipt.	印鑑[いんかん]	ここに 受[う]け 取[と]りの<b> 印鑑[いんかん]</b>をお 願[ねが]いします。	ここに 受[う]け 取[と]りの<b>（　）</b>をお 願[ねが]いします。
3332	505	506	2741	2843	3189	JLPT1	学説	がくせつ	theory	Noun	それは最新の<b>学説</b>ね。	それ は さいしん の <b>がくせつ</b> ね	It is the latest theory.	学説[がくせつ]	それは 最新[さいしん]の<b> 学説[がくせつ]</b>ね。	それは 最新[さいしん]の<b>（　）</b>ね。
3333	788	789	3234	3234	3993	JLPT0	片側	かたがわ	one side	Noun	この道は<b>片側</b>通行です。	この みち は <b>かたがわ</b> つうこう です	This road is a one-way street.	片側[かたがわ]	この 道[みち]は<b> 片側[かたがわ]</b> 通行[つうこう]です。	この 道[みち]は<b>（　）</b> 通行[つうこう]です。
3334	303	441	2321	2422	2795	JLPT2	担ぐ	かつぐ	shoulder, carry	Verb	彼は大きな荷物を<b>担いで</b>来たの。	かれ は おおき な にもつ を <b>かついで</b> きた の	He came carrying large luggage.	担[かつ]ぐ	彼[かれ]は 大[おお]きな 荷物[にもつ]を<b> 担[かつ]いで</b> 来[き]たの。	彼[かれ]は 大[おお]きな 荷物[にもつ]を<b>（　）</b> 来[き]たの。
3335	1142	1143	3655	3656	5032	JLPT2	柄	がら	pattern, design	Noun	彼は犬の<b>柄</b>のTシャツを着ているよ。	かれ は いぬ の <b>がら</b> の Tしゃつ を きて いる よ	He's wearing a T-shirt with a dog print on it.	柄[がら]	彼[かれ]は 犬[いぬ]の<b> 柄[がら]</b>のTシャツを 着[き]ているよ。	彼[かれ]は 犬[いぬ]の<b>（　）</b>のTシャツを 着[き]ているよ。
3336	919	920	3400	3400	4404	JLPT2	看病	かんびょう	nursing, nursing care	Verbal Noun	彼女は一晩中彼を<b>看病</b>したの。	かのじょ は ひとばんじゅう かれ を <b>かんびょう</b> した の	She nursed him all night long.	看病[かんびょう]	彼女[かのじょ]は 一晩中彼[ひとばんじゅう かれ]を<b> 看病[かんびょう]</b>したの。	彼女[かのじょ]は 一晩中彼[ひとばんじゅう かれ]を<b>（　）</b>したの。
3337	392	677	2518	2619	3730	JLPT0	気楽	きらく	easygoing, comfortable	Adjectival Noun	将来は<b>気楽</b>な生活がしたいです。	しょうらい は <b>きらく</b> な せいかつ が したい です	I want to have an easy life in the future.	気楽[きらく]	将来[しょうらい]は<b> 気楽[きらく]</b>な 生活[せいかつ]がしたいです。	将来[しょうらい]は<b>（　）</b>な 生活[せいかつ]がしたいです。
3338	837	838	3320	3321	4167	JLPT1	勤労	きんろう	labor, work	Verbal Noun	父は長い<b>勤労</b>生活を送ったんです。	ちち は ながい <b>きんろう</b> せいかつ を おくった ん です	My father had a long working career.	勤労[きんろう]	父[ちち]は 長[なが]い<b> 勤労[きんろう]</b> 生活[せいかつ]を 送[おく]ったんです。	父[ちち]は 長[なが]い<b>（　）</b> 生活[せいかつ]を 送[おく]ったんです。
3339	265	406	2240	2342	2618	JLPT0	区役所	くやくしょ	ward office	Noun	<b>区役所</b>に書類を届けてください。	<b>くやくしょ</b> に しょるい を とどけて ください	Please deliver the document to the ward office.	区役所[くやくしょ]	<b> 区役所[くやくしょ]</b>に 書類[しょるい]を 届[とど]けてください。	<b>（　）</b>に 書類[しょるい]を 届[とど]けてください。
3340	0	441	2826	2929	2796	JLPT1	コマーシャル	コマーシャル	commercial, advertising	Noun	彼女はテレビの<b>コマーシャル</b>に出ているわ。	かのじょ は てれび の <b>こまーしゃる</b> に でて いる わ	She is appearing in a TV commercial.	コマーシャル	彼女[かのじょ]はテレビの<b>コマーシャル</b>に 出[で]ているわ。	彼女[かのじょ]はテレビの<b>（　）</b>に 出[で]ているわ。
3341	1051	2776	3576	3577	5984	JLPT2	刺さる	ささる	stick, be stuck	Verb	靴の底に釘が<b>刺さってしまった</b>んだ。	くつ の そこ に くぎ が <b>ささって しまった</b> ん だ	A nail has stuck in the bottom of my shoe.	刺[さ]さる	靴[くつ]の 底[そこ]に 釘[くぎ]が<b> 刺[さ]さってしまった</b>んだ。	靴[くつ]の 底[そこ]に 釘[くぎ]が<b>（　）</b>んだ。
3342	242	1703	2201	2302	5743	JLPT0	市外	しがい	city outskirts, suburbs	Noun	祖父は<b>市外</b>の病院に通っているの。	そふ は <b>しがい</b> の びょういん に かよって いる の	My grandfather goes to a hospital outside the city.	市外[しがい]	祖父[そふ]は<b> 市外[しがい]</b>の 病院[びょういん]に 通[かよ]っているの。	祖父[そふ]は<b>（　）</b>の 病院[びょういん]に 通[かよ]っているの。
3343	0	928	2835	2937	4416	JLPT2	しつこい	しつこい	persistent	Adjective	<b>しつこい</b>迷惑メールに困っている。	<b>しつこい</b> めいわく めーる に こまって いる	I am having trouble with persistent junk mail.	しつこい	<b>しつこい</b> 迷惑[めいわく]メールに 困[こま]っている。	<b>（　）</b> 迷惑[めいわく]メールに 困[こま]っている。
3344	1644	1645	3884	3885	5662	JLPT2	霜	しも	frost	Noun	今朝は庭の草に<b>霜</b>が降りていたの。	けさ は にわ の くさ に <b>しも</b> が おりて いた の	There was frost on the grass in the garden this morning.	霜[しも]	今朝[けさ]は 庭[にわ]の 草[くさ]に<b> 霜[しも]</b>が 降[お]りていたの。	今朝[けさ]は 庭[にわ]の 草[くさ]に<b>（　）</b>が 降[お]りていたの。
3345	0	756	2843	2946	3910	JLPT2	しゃがむ	しゃがむ	squat down	Verb	お年寄りが道端に<b>しゃがんでいます</b>ね。	おとしより が みちばた に <b>しゃがんで います</b> ね	An old person is squatting down on the side of the road.	しゃがむ	お 年寄[としよ]りが 道端[みちばた]に<b>しゃがんでいます</b>ね。	お 年寄[としよ]りが 道端[みちばた]に<b>（　）</b>ね。
3346	452	453	2624	2726	3004	JLPT1	主食	しゅしょく	staple food	Noun	アジアの<b>主食</b>は米です。	あじあ の <b>しゅしょく</b> は こめ です	The staple food of Asia is rice.	主食[しゅしょく]	アジアの<b> 主食[しゅしょく]</b>は 米[こめ]です。	アジアの<b>（　）</b>は 米[こめ]です。
3347	146	1106	1963	2162	4990	JLPT2	書道	しょどう	Japanese calligraphy	Noun	<b>書道</b>をすると姿勢も良くなります。	<b>しょどう</b> を する と しせい も よく なります	Posture also improves when you study calligraphy.	書道[しょどう]	<b> 書道[しょどう]</b>をすると 姿勢[しせい]も 良[よ]くなります。	<b>（　）</b>をすると 姿勢[しせい]も 良[よ]くなります。
3348	1505	1506	3818	3819	5502	JLPT2	怪しい	あやしい	suspicious, dubious	Adjective	その男の行動は<b>怪しかった</b>わ。	その おとこ の こうどう は <b>あやしかった</b> わ	That man's behavior was suspicious.	怪[あや]しい	その 男[おとこ]の 行動[こうどう]は<b> 怪[あや]しかった</b>わ。	その 男[おとこ]の 行動[こうどう]は<b>（　）</b>わ。
3349	1340	1341	3740	3740	5272	JLPT0	慌てる	あわてる	be flurried, hurry	Verb	そんなに<b>慌てて</b>どこに行くの。	そんなに <b>あわてて</b> どこ に いく の	Where are you going in such a hurry?	慌[あわ]てる	そんなに<b> 慌[あわ]てて</b>どこに 行[い]くの。	そんなに<b>（　）</b>どこに 行[い]くの。
3350	412	571	2560	2661	3415	JLPT1	一同	いちどう	everybody, all	Noun	<b>一同</b>顔を見合わせました。	<b>いちどう</b> かお を みあわせました	We all looked at each other.	一同[いちどう]	<b> 一同[いちどう]</b> 顔[かお]を 見合[みあ]わせました。	<b>（　）</b> 顔[かお]を 見合[みあ]わせました。
3351	1043	1805	3571	3572	5826	JLPT0	歌声	うたごえ	singing voice	Noun	校舎から<b>歌声</b>が聞こえて来たよ。	こうしゃ から <b>うたごえ</b> が きこえて きた よ	You could hear singing coming from the school building.	歌声[うたごえ]	校舎[こうしゃ]から<b> 歌声[うたごえ]</b>が 聞[き]こえて 来[き]たよ。	校舎[こうしゃ]から<b>（　）</b>が 聞[き]こえて 来[き]たよ。
3352	970	971	3465	3465	4549	JLPT0	落ち葉	おちば	fallen leaves	Noun	<b>落ち葉</b>の季節になりましたね。	<b>おちば</b> の きせつ に なりました ね	The season of falling leaves has arrived.	落[お]ち 葉[ば]	<b> 落[お]ち 葉[ば]</b>の 季節[きせつ]になりましたね。	<b>（　）</b>の 季節[きせつ]になりましたね。
3353	773	774	3216	3216	3934	JLPT2	帯	おび	belt, sash	Noun	この<b>帯</b>は長過ぎます。	この <b>おび</b> は なが すぎます	This sash is too long.	帯[おび]	この<b> 帯[おび]</b>は 長過[なが す]ぎます。	この<b>（　）</b>は 長過[なが す]ぎます。
3354	346	546	2409	2510	3345	JLPT0	思い切って	おもいきって	boldly, decisively	Adverb	<b>思い切って</b>彼に相談します。	<b>おもいきって</b> かれ に そうだん します	I'll take the plunge and ask him for advice.	思[おも]い 切[き]って	<b> 思[おも]い 切[き]って</b> 彼[かれ]に 相談[そうだん]します。	<b>（　）</b> 彼[かれ]に 相談[そうだん]します。
3355	1639	1640	3880	3881	5657	JLPT2	勘	かん	sense, intuition	Noun	女の<b>勘</b>を甘く見てはいけません。	おんな の <b>かん</b> を あまく みて は いけません	Don't underestimate a woman's intuition.	勘[かん]	女[おんな]の<b> 勘[かん]</b>を 甘[あま]く 見[み]てはいけません。	女[おんな]の<b>（　）</b>を 甘[あま]く 見[み]てはいけません。
3356	798	799	3252	3252	4021	JLPT2	掲示	けいじ	notice, bulletin	Verbal Noun	大会のスローガンを<b>掲示</b>したよ。	たいかい の すろーがん を <b>けいじ</b> した よ	I posted the rally's slogan.	掲示[けいじ]	大会[たいかい]のスローガンを<b> 掲示[けいじ]</b>したよ。	大会[たいかい]のスローガンを<b>（　）</b>したよ。
3357	1265	1266	3699	3699	5171	JLPT2	毛糸	けいと	woolen yarn, wool	Noun	彼女は<b>毛糸</b>のセーターを編みました。	かのじょ は <b>けいと</b> の せーたー を あみました	She knitted a woolen sweater.	毛糸[けいと]	彼女[かのじょ]は<b> 毛糸[けいと]</b>のセーターを 編[あ]みました。	彼女[かのじょ]は<b>（　）</b>のセーターを 編[あ]みました。
3358	0	872	2852	2954	4248	JLPT1	コンテスト	コンテスト	contest	Noun	この<b>コンテスト</b>に優勝すると車がもらえるんだ。	この <b>こんてすと</b> に ゆうしょう する と くるま が もらえる ん だ	If you win this contest you can get a car.	コンテスト	この<b>コンテスト</b>に 優勝[ゆうしょう]すると 車[くるま]がもらえるんだ。	この<b>（　）</b>に 優勝[ゆうしょう]すると 車[くるま]がもらえるんだ。
3359	442	443	2599	2701	2970	JLPT2	婚約	こんやく	engagement, betrothal	Verbal Noun	二人は<b>婚約</b>しています。	ふたり は <b>こんやく</b> して います	They are engaged.	婚約[こんやく]	二人[ふたり]は<b> 婚約[こんやく]</b>しています。	二人[ふたり]は<b>（　）</b>しています。
3360	277	441	2289	2391	2797	JLPT0	最強	さいきょう	strongest	Noun	彼は<b>最強</b>チームの一員です。	かれ は <b>さいきょう</b> ちーむ の いちいん です	He is a member of the strongest team.	最強[さいきょう]	彼[かれ]は<b> 最強[さいきょう]</b>チームの 一員[いちいん]です。	彼[かれ]は<b>（　）</b>チームの 一員[いちいん]です。
3361	324	1178	2346	2447	5073	JLPT2	作製	さくせい	manufacture, production	Verbal Noun	合鍵の<b>作製</b>には2日ほどかかります。	あいかぎ の <b>さくせい</b> に は ふつか ほど かかります	It takes about two days to make a duplicate key.	作製[さくせい]	合鍵[あいかぎ]の<b> 作製[さくせい]</b>には 2日[ふつか]ほどかかります。	合鍵[あいかぎ]の<b>（　）</b>には 2日[ふつか]ほどかかります。
3362	892	893	3377	3378	4321	JLPT1	産婦人科	さんふじんか	obstetrics and gynecology	Noun	最近、<b>産婦人科</b>の不足が問題になっているね。	さいきん <b>さんふじんか</b> の ふそく が もんだい に なって いる ね	Recently, shortages of obstetrics and gynecology specialists have become a problem.	産婦人科[さんふじんか]	最近[さいきん]、<b> 産婦人科[さんふじんか]</b>の 不足[ふそく]が 問題[もんだい]になっているね。	最近[さいきん]、<b>（　）</b>の 不足[ふそく]が 問題[もんだい]になっているね。
3363	1026	1027	3544	3545	4723	JLPT3	辞典	じてん	dictionary	Noun	知らない言葉を<b>辞典</b>で調べました。	しらない ことば を <b>じてん</b> で しらべました	I looked up the word I didn't know in the dictionary.	辞典[じてん]	知[し]らない 言葉[ことば]を<b> 辞典[じてん]</b>で 調[しら]べました。	知[し]らない 言葉[ことば]を<b>（　）</b>で 調[しら]べました。
3364	1846	1847	3950	3951	5852	JLPT2	車掌	しゃしょう	train conductor	Noun	<b>車掌</b>さんが車内を回って来たよ。	<b>しゃしょう</b> さん が しゃない を まわって きた よ	The conductor went around the carriage.	車掌[しゃしょう]	<b> 車掌[しゃしょう]</b>さんが 車内[しゃない]を 回[まわ]って 来[き]たよ。	<b>（　）</b>さんが 車内[しゃない]を 回[まわ]って 来[き]たよ。
3365	1718	1719	3916	3916	5759	JLPT2	邪魔	じゃま	hindrance, obstruction	Verbal Noun	<b>邪魔</b>です、どいてください。	<b>じゃま</b> です どいて ください	You're in the way, so please move.	邪魔[じゃま]	<b> 邪魔[じゃま]</b>です、どいてください。	<b>（　）</b>です、どいてください。
3366	239	240	2192	2293	2247	JLPT0	人名	じんめい	personal name, name	Noun	これは日本の<b>人名</b>ですか。	これ は にほん の <b>じんめい</b> です か	Is this a Japanese name?	人名[じんめい]	これは 日本[にほん]の<b> 人名[じんめい]</b>ですか。	これは 日本[にほん]の<b>（　）</b>ですか。
3367	429	430	2583	2685	2703	JLPT0	水族館	すいぞくかん	aquarium	Noun	ここの<b>水族館</b>にはイルカがいます。	ここ の <b>すいぞくかん</b> に は いるか が います	There is a dolphin in the aquarium here.	水族館[すいぞくかん]	ここの<b> 水族館[すいぞくかん]</b>にはイルカがいます。	ここの<b>（　）</b>にはイルカがいます。
3368	1356	1357	3749	3749	5304	JLPT0	筋道	すじみち	method, logic	Noun	<b>筋道</b>を立てて考えなさい。	<b>すじみち</b> を たてて かんがえなさい	Think logically.	筋道[すじみち]	<b> 筋道[すじみち]</b>を 立[た]てて 考[かんが]えなさい。	<b>（　）</b>を 立[た]てて 考[かんが]えなさい。
3369	1101	1102	3629	3630	4974	JLPT0	素敵	すてき	lovely, nice	Adjective	<b>素敵</b>なプレゼントをありがとう。	<b>すてき</b> な ぷれぜんと を ありがとう	Thank you for the wonderful gift.	素敵[すてき]	<b> 素敵[すてき]</b>なプレゼントをありがとう。	<b>（　）</b>なプレゼントをありがとう。
3370	312	421	2331	2433	2665	JLPT1	済ます	すます	settle, complete	Verb	宿題を<b>済ませて</b>から遊びなさい。	しゅくだい を <b>すませて</b> から あそびなさい 。	Play after you finish doing your homework.	済[す]ます	宿題[しゅくだい]を<b> 済[す]ませて</b>から 遊[あそ]びなさい。	宿題[しゅくだい]を<b>（　）</b>から 遊[あそ]びなさい。
3371	266	547	2253	2354	3350	JLPT2	生年月日	せいねんがっぴ	date of birth	Noun	ここに<b>生年月日</b>を記入してください。	ここ に <b>せいねんがっぴ</b> を きにゅう して ください	Please fill in your date of birth here.	生年月日[せいねんがっぴ]	ここに<b> 生年[せいねん] 月日[がっぴ]</b>を 記入[きにゅう]してください。	ここに<b>（　）</b>を 記入[きにゅう]してください。
3372	624	971	2947	3049	4550	JLPT0	言い換える	いいかえる	express in different words, paraphrase	Verb	彼は易しい言葉に<b>言い換えた</b>んだ。	かれ は やさしい ことば に <b>いいかえた</b> ん だ	He paraphrased it in easy language.	言[い]い 換[か]える	彼[かれ]は 易[やさ]しい 言葉[ことば]に<b> 言[い]い 換[か]えた</b>んだ。	彼[かれ]は 易[やさ]しい 言葉[ことば]に<b>（　）</b>んだ。
3373	608	609	2924	3026	3556	JLPT0	いい加減	いいかげん	irresponsible, half-baked	Adjectival Noun	<b>いい加減</b>なことを言ってはいけません。	<b>いいかげん</b> な こと を いって は いけません	You shouldn't say thoughtless things.	いい 加減[かげん]	<b>いい 加減[かげん]</b>なことを 言[い]ってはいけません。	<b>（　）</b>なことを 言[い]ってはいけません。
3374	929	930	3411	3412	4423	JLPT0	疑わしい	うたがわしい	doubtful, questionable	Adjective	<b>疑わしい</b>場所は全部調べよう。	<b>うたがわしい</b> ばしょ は ぜんぶ しらべよう	Let's search in all the suspicious places.	疑[うたが]わしい	<b> 疑[うたが]わしい</b> 場所[ばしょ]は 全部調[ぜんぶ しら]べよう。	<b>（　）</b> 場所[ばしょ]は 全部調[ぜんぶ しら]べよう。
3375	498	499	2721	2823	3175	JLPT1	器	うつわ	vessel, dish	Noun	この<b>器</b>は上等ね。	この <b>うつわ</b> は じょうとう ね	This dish is really top quality.	器[うつわ]	この<b> 器[うつわ]</b>は 上等[じょうとう]ね。	この<b>（　）</b>は 上等[じょうとう]ね。
3376	729	1557	3180	3180	5558	JLPT2	王様	おうさま	king	Noun	その国の<b>王様</b>はとても賢い。	その くに の <b>おうさま</b> は とても かしこい	That country's king is very wise.	王様[おうさま]	その 国[くに]の<b> 王様[おうさま]</b>はとても 賢[かしこ]い。	その 国[くに]の<b>（　）</b>はとても 賢[かしこ]い。
3377	914	915	3398	3398	4389	JLPT0	大喜び	おおよろこび	great joy, delight	Verbal Noun	弟は新しい自転車に<b>大喜び</b>です。	おとうと は あたらしい じてんしゃ に <b>おおよろこび</b> です	My little brother is overjoyed with his new bike.	大喜[おおよろこ]び	弟[おとうと]は 新[あたら]しい 自転車[じてんしゃ]に<b> 大喜[おおよろこ]び</b>です。	弟[おとうと]は 新[あたら]しい 自転車[じてんしゃ]に<b>（　）</b>です。
3378	507	1716	2747	2849	5757	JLPT0	学園	がくえん	educational institution, school	Noun	彼女は郊外の<b>学園</b>に通っているね。	かのじょ は こうがい の <b>がくえん</b> に かよって いる ね	She goes to a school in the suburbs.	学園[がくえん]	彼女[かのじょ]は 郊外[こうがい]の<b> 学園[がくえん]</b>に 通[かよ]っているね。	彼女[かのじょ]は 郊外[こうがい]の<b>（　）</b>に 通[かよ]っているね。
3379	837	1060	3322	3322	4859	JLPT1	過労	かろう	overwork	Noun	彼は<b>過労</b>のために倒れたの。	かれ は <b>かろう</b> の ため に たおれた の	He collapsed from overworking.	過労[かろう]	彼[かれ]は<b> 過労[かろう]</b>のために 倒[たお]れたの。	彼[かれ]は<b>（　）</b>のために 倒[たお]れたの。
3380	1687	1688	3904	3905	5725	JLPT1	頑丈	がんじょう	solid, strong	Adjectival Noun	錠を<b>頑丈</b>なものに替えました。	じょう を <b>がんじょう</b> な もの に かえました	The lock was substituted for a stronger one.	頑丈[がんじょう]	錠[じょう]を<b> 頑丈[がんじょう]</b>なものに 替[か]えました。	錠[じょう]を<b>（　）</b>なものに 替[か]えました。
3381	225	778	2179	2280	3945	JLPT2	決まり	きまり	settlement, rule	Noun	<b>決まり</b>を守ることは大切です。	<b>きまり</b> を まもる こと は たいせつ です	It is important to keep the rules.	決[き]まり	<b> 決[き]まり</b>を 守[まも]ることは 大切[たいせつ]です。	<b>（　）</b>を 守[まも]ることは 大切[たいせつ]です。
3382	0	808	2860	2962	4043	JLPT0	キャベツ	キャベツ	cabbage	Noun	<b>キャベツ</b>の千切りを添えたよ。	<b>きゃべつ</b> の せんぎり を そえた よ	I garnished it with shredded cabbage.	キャベツ	<b>キャベツ</b>の 千切[せんぎ]りを 添[そ]えたよ。	<b>（　）</b>の 千切[せんぎ]りを 添[そ]えたよ。
3383	969	970	3461	3462	4545	JLPT0	草花	くさばな	plants and flowers	Noun	<b>草花</b>を大切にしましょう。	<b>くさばな</b> を たいせつ に しましょう	Let's take good care of plants and flowers.	草花[くさばな]	<b> 草花[くさばな]</b>を 大切[たいせつ]にしましょう。	<b>（　）</b>を 大切[たいせつ]にしましょう。
3384	895	896	3381	3381	4331	JLPT1	交互	こうご	by turns, alternatively	Noun	男女<b>交互</b>に並んでください。	だんじょ <b>こうご</b> に ならんで ください	Please make a line of boy girl boy girl.	交互[こうご]	男女[だんじょ]<b> 交互[こうご]</b>に 並[なら]んでください。	男女[だんじょ]<b>（　）</b>に 並[なら]んでください。
3385	1667	1668	3897	3898	5697	JLPT3	講堂	こうどう	lecture hall, auditorium	Noun	全員、<b>講堂</b>に集まってください。	ぜんいん <b>こうどう</b> に あつまって ください	Everyone, please come to the auditorium.	講堂[こうどう]	全員[ぜんいん]、<b> 講堂[こうどう]</b>に 集[あつ]まってください。	全員[ぜんいん]、<b>（　）</b>に 集[あつ]まってください。
3386	1255	1256	3692	3692	5150	JLPT0	小麦粉	こむぎこ	flour	Noun	うどんは<b>小麦粉</b>から作られます。	うどん は <b>こむぎこ</b> から つくられます	Udon noodles are made from flour.	小麦粉[こむぎこ]	うどんは<b> 小麦粉[こむぎこ]</b>から 作[つく]られます。	うどんは<b>（　）</b>から 作[つく]られます。
3387	1741	1742	3924	3924	5789	JLPT2	紺	こん	dark blue, navy blue	Noun	日本の制服は<b>紺</b>が多いね。	にほん の せいふく は <b>こん</b> が おおい ね	Many school uniforms in Japan are navy blue.	紺[こん]	日本[にほん]の 制服[せいふく]は<b> 紺[こん]</b>が 多[おお]いね。	日本[にほん]の 制服[せいふく]は<b>（　）</b>が 多[おお]いね。
3388	475	1039	2669	2770	4766	JLPT1	歯科	しか	dentistry	Noun	彼は<b>歯科</b>医師です。	かれ は <b>しか</b> いし です	He is a dentist.	歯科[しか]	彼[かれ]は<b> 歯科[しか]</b> 医師[いし]です。	彼[かれ]は<b>（　）</b> 医師[いし]です。
3389	333	334	2361	2462	2394	JLPT1	時差	じさ	time difference	Noun	日本とフランスの<b>時差</b>は8時間です。	にほん と ふらんす の <b>じさ</b> は はちじかん です	The time difference between Japan and France is eight hours.	時差[じさ]	日本[にほん]とフランスの<b> 時差[じさ]</b>は 8時間[はちじかん]です。	日本[にほん]とフランスの<b>（　）</b>は 8時間[はちじかん]です。
3390	346	1389	2410	2511	5354	JLPT0	品切れ	しなぎれ	run out, sell out	Noun	牛乳は<b>品切れ</b>だったよ。	ぎゅうにゅう は <b>しなぎれ</b> だった よ	Milk was sold out.	品切[しなぎ]れ	牛乳[ぎゅうにゅう]は<b> 品切[しなぎ]れ</b>だったよ。	牛乳[ぎゅうにゅう]は<b>（　）</b>だったよ。
3391	946	947	3432	3432	4461	JLPT0	修了	しゅうりょう	completion	Verbal Noun	先月、そのコースを<b>修了</b>しました。	せんげつ その こーす を <b>しゅうりょう</b> しました	I finished the course last month.	修了[しゅうりょう]	先月[せんげつ]、そのコースを<b> 修了[しゅうりょう]</b>しました。	先月[せんげつ]、そのコースを<b>（　）</b>しました。
